massloading_cpu(kg/sq-m)	massloading_gpu(kg/sq-m)	log10(cpu/gpu)
4.2291000000e-09	4.2291000000e-09	0.0000000000e+00
4.0715000000e-09	4.0715000000e-09	0.0000000000e+00
3.8804000000e-09	3.8804000000e-09	0.0000000000e+00
3.6670000000e-09	3.6670000000e-09	0.0000000000e+00
3.4422000000e-09	3.4422000000e-09	0.0000000000e+00
3.2307000000e-09	3.2307000000e-09	0.0000000000e+00
3.1125000000e-09	3.1125000000e-09	0.0000000000e+00
3.0493000000e-09	3.0493000000e-09	0.0000000000e+00
3.0077000000e-09	3.0077000000e-09	0.0000000000e+00
2.9846000000e-09	2.9846000000e-09	0.0000000000e+00
2.9710000000e-09	2.9710000000e-09	0.0000000000e+00
2.9593000000e-09	2.9593000000e-09	0.0000000000e+00
2.9390000000e-09	2.9390000000e-09	0.0000000000e+00
2.9078000000e-09	2.9078000000e-09	0.0000000000e+00
2.8630000000e-09	2.8630000000e-09	0.0000000000e+00
2.8041000000e-09	2.8041000000e-09	0.0000000000e+00
2.7330000000e-09	2.7330000000e-09	0.0000000000e+00
2.6474000000e-09	2.6474000000e-09	0.0000000000e+00
2.5628000000e-09	2.5628000000e-09	0.0000000000e+00
2.5019000000e-09	2.5019000000e-09	0.0000000000e+00
2.4217000000e-09	2.4217000000e-09	0.0000000000e+00
2.3235000000e-09	2.3235000000e-09	0.0000000000e+00
2.2059000000e-09	2.2059000000e-09	0.0000000000e+00
2.0742000000e-09	2.0742000000e-09	0.0000000000e+00
1.9261000000e-09	1.9261000000e-09	0.0000000000e+00
1.7633000000e-09	1.7633000000e-09	0.0000000000e+00
1.6159000000e-09	1.6159000000e-09	0.0000000000e+00
1.4706000000e-09	1.4706000000e-09	0.0000000000e+00
1.3086000000e-09	1.3086000000e-09	0.0000000000e+00
1.1371000000e-09	1.1371000000e-09	0.0000000000e+00
9.6326000000e-10	9.6326000000e-10	0.0000000000e+00
8.1460000000e-10	8.1460000000e-10	0.0000000000e+00
7.0498000000e-10	7.0498000000e-10	0.0000000000e+00
6.1530000000e-10	6.1530000000e-10	0.0000000000e+00
5.5268000000e-10	5.5268000000e-10	0.0000000000e+00
5.2318000000e-10	5.2318000000e-10	0.0000000000e+00
5.3121000000e-10	5.3121000000e-10	0.0000000000e+00
5.8310000000e-10	5.8310000000e-10	0.0000000000e+00
6.8524000000e-10	6.8524000000e-10	0.0000000000e+00
8.4608000000e-10	8.4608000000e-10	0.0000000000e+00
1.0757000000e-09	1.0757000000e-09	0.0000000000e+00
1.4039000000e-09	1.4039000000e-09	0.0000000000e+00
1.9066000000e-09	1.9066000000e-09	0.0000000000e+00
2.5550000000e-09	2.5550000000e-09	0.0000000000e+00
3.3613000000e-09	3.3613000000e-09	0.0000000000e+00
4.5154000000e-09	4.5154000000e-09	0.0000000000e+00
5.9581000000e-09	5.9581000000e-09	0.0000000000e+00
7.6138000000e-09	7.6138000000e-09	0.0000000000e+00
9.8899000000e-09	9.8899000000e-09	0.0000000000e+00
1.2605000000e-08	1.2605000000e-08	0.0000000000e+00
1.5453000000e-08	1.5453000000e-08	0.0000000000e+00
1.8378000000e-08	1.8378000000e-08	0.0000000000e+00
2.2465000000e-08	2.2465000000e-08	0.0000000000e+00
